Week beginning;Week end;Number of trips;Earnings;Hours;Minutes;Hours decimal
07.08.19;07.15.19;26;222;14;40;14.67
07.01.19;07.08.19;55;421;27;54;27.9
06.24.19;07.01.19;73;565;38;2;38.03
06.17.19;06.24.19;65;526;31;3;31.05
06.10.19;06.17.19;64;542;29;27;29.45
06.03.19;06.10.19;24;204;11;22;11.37
05.27.19;06.03.19;57;482;29;41;29.68
05.20.19;05.27.19;61;543;27;1;27.02
05.13.19;05.20.19;34;204;12;44;12.73
05.06.19;05.13.19;73;580;28;48;28.8
04.29.19;05.06.19;72;607;29;46;29.77
04.22.19;04.29.19;24;273;8;52;8.87
04.15.19;04.22.19;55;457;20;30;20.5
04.08.19;04.15.19;72;697;29;33;29.55
04.01.19;04.08.19;60;526;22;17;22.28
03.25.19;04.01.19;53;761;21;8;21.13
03.18.19;03.25.19;63;728;24;13;24.22
03.11.19;03.18.19;42;338;12;3;12.05
03.04.19;03.11.19;na;na;na;na;na
02.25.19;03.04.19;78;789;26;7;26.12
02.18.19;02.25.19;na;na;na;na;na
02.11.19;02.18.19;12;126;4;55;4.92
02.04.19;02.11.19;49;439;19;1;19.02
01.28.19;02.04.19;na;na;na;na;na
01.21.19;01.28.19;na;na;na;na;na
01.14.19;01.21.19;na;na;na;na;na
01.07.19;01.14.19;na;na;na;na;na
12.31.18;01.07.19;10;124;7;15;7.25
12.24.18;12.31.18;na;na;na;na;na
12.17.18;12.24.18;46;358;22;36;22.6
12.10.18;12.17.18;63;518;29;6;29.1
12.03.18;12.10.18;52;467;23;9;23.15
11.26.18;12.03.18;65;475;26;25;26.42
11.19.18;11.26.18;68;505;28;51;28.85
11.12.18;11.19.18;71;482;27;2;27.03
11.05.18;11.12.18;na;na;na;na;na
10.29.18;11.05.18;63;475;25;23;25.38
10.22.18;10.29.18;62;476;23;7;23.12
10.15.18;10.22.18;61;525;26;25;26.42
10.08.18;10.15.18;36;252;15;42;15.7
10.01.18;10.08.18;na;na;na;na;na
09.24.18;10.01.18;46;377;19;28;19.47
09.17.18;09.24.18;29;196;10;9;10.15
